num_listings,median_price
52,120.0
27,62.99
15,120.0
29,48.99
10,142.495
28,45.0
9,86.99
14,78.17
48,44.22
8,69.975
10,54.0
19,120.0
12,51.995000000000005
49,100.0
22,25.0
48,50.0
15,24.0
9,48.99
56,45.0
13,59.99
25,30.0
13,80.0
12,47.5
14,40.0
8,134.995
70,50.0
70,22.5
23,60.0
39,69.49
17,130.0
69,229.0
51,40.0
37,77.0
17,100.0
19,63.0
9,100.0
28,249.99
43,30.0
7,45.0
16,57.495000000000005
14,150.0
45,75.0
13,60.0
5,20.0
66,29.5
4,51.49
19,49.0
9,38.0
56,75.0
8,20.0
15,99.0
16,52.0
26,40.0
39,50.0
55,44.99
17,100.0
17,30.0
8,50.0
82,30.0
16,47.5
37,55.0
12,49.495000000000005
7,47.99
31,32.0
26,54.995000000000005
2,83.0
6,89.995
14,119.0
3,130.0
6,73.495
5,60.0
7,55.0
10,122.475
28,39.0
13,41.99
8,97.0
99,70.0
13,40.0
56,40.0
23,150.0
15,200.0
11,73.0
30,225.0
9,78.0
11,39.95
12,110.0
11,20.0
10,117.5
13,45.0
8,67.0
51,12.0
13,98.0
14,50.0
20,75.0
20,50.0
12,37.0
68,25.0
5,54.99
92,25.0
13,71.0
22,40.0
20,66.5
15,110.0
6,14.495000000000001
11,150.0
5,50.0
12,85.0
30,28.994999999999997
20,70.0
29,32.0
26,40.0
14,105.0
13,14.0
12,72.5
50,61.980000000000004
106,35.0
17,28.0
27,35.0
15,60.0
12,184.495
23,80.0
6,69.995
3,20.0
12,40.0
3,19.99
11,30.0
35,70.0
32,10.0
4,140.0
89,35.0
29,35.0
6,25.0
40,36.5
37,100.0
9,24.99
10,64.99
19,45.0
23,25.0
69,35.0
18,78.5
13,60.0
15,42.0
7,60.0
52,35.0
11,33.0
7,175.0
8,109.5
16,48.0
14,50.0
27,49.99
33,45.0
26,25.0
6,37.75
27,45.0
33,40.0
16,53.995000000000005
5,18.99
24,52.495000000000005
8,41.0
31,20.0
5,44.99
6,29.244999999999997
0,0.0
1,8.0
19,30.0
20,35.0
9,20.0
19,15.0
6,29.5
6,40.0
27,35.0
40,40.0
22,70.0
28,40.0
8,115.445
19,59.49
8,127.5
40,25.0
35,25.0
13,50.0
44,37.5
6,32.5
4,37.5
17,65.43
5,10.0
38,35.0
29,37.5
13,28.0
1,65.0
5,25.0
9,30.0
5,90.0
9,44.99
17,29.0
7,55.0
5,140.0
15,20.0
4,53.0
3,20.0
6,33.99
24,30.0
14,64.495
5,60.0
6,32.5
14,35.0
11,39.95
62,30.0
14,332.45
9,50.0
25,35.0
4,70.0
26,67.99
9,38.99
25,17.0
38,33.47
20,144.995
8,85.0
30,39.5
5,6.0
22,62.5
16,82.5
9,25.0
4,45.0
7,98.99
8,29.979999999999997
19,120.0
10,153.995
31,47.0
39,50.0
6,45.0
7,100.0
11,40.0
28,50.0
37,70.0
15,124.99
10,85.0
82,35.5
18,44.99
10,100.0
12,20.0
11,22.78
19,30.0
3,38.0
5,80.0
17,29.99
36,30.0
37,30.0
93,30.0
21,15.0
46,40.0
3,28.99
43,30.0
11,19.99
14,69.5
12,88.18
4,99.495
26,33.0
19,60.0
40,20.0
5,55.99
66,10.0
10,53.495000000000005
5,44.99
6,25.0
38,30.0
2,33.0
6,50.0
18,50.0
14,60.0
50,50.0
4,22.494999999999997
7,39.0
13,35.0
26,22.5
9,47.0
28,28.0
8,39.495000000000005
44,34.475
17,45.0
