Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Gettysburg,265489,185.0,7.31581,5.68506,2.0833,12.0,60.0,10.0,31.0,55.0,684.0,361.0,1.0,20.0,2018.0,1.0,2.0,60.0,90.0,0.0,"[1048, 2072, 2026, 1019]",['war']
Krieg und Frieden,48,703.0,6.10787,5.68504,2.4638,69.0,605.0,139.0,18.0,53.0,1408.0,480.0,6.0,60.0,1999.0,2.0,4.0,90.0,90.0,12.0,"[2012, 1035, 1001]",['strategy']
Casa Grande,103877,355.0,6.47972,5.68496,2.1154,26.0,166.0,27.0,23.0,81.0,611.0,733.0,8.0,81.0,2011.0,2.0,4.0,30.0,45.0,8.0,"[1009, 2048, 2035]",['abstract']
Gauntlet of Fools,129293,1121.0,5.99858,5.68489,1.4783,69.0,636.0,116.0,22.0,164.0,1408.0,3964.0,10.0,51.0,2012.0,2.0,6.0,30.0,30.0,13.0,"[1022, 2012, 1002, 1017, 2072, 1010, 1046, 2685, 2661, 2015]",['thematic']
MBT,3710,351.0,6.64737,5.68489,3.7907,43.0,164.0,69.0,12.0,38.0,1024.0,151.0,43.0,43.0,1989.0,2.0,6.0,60.0,240.0,10.0,"[2072, 2676, 2026, 2975, 1069, 2011, 2822, 2070, 2020, 2019, 1019]",['war']
Shazamm!,8935,595.0,6.18209,5.68483,1.8727,55.0,698.0,125.0,24.0,122.0,984.0,1656.0,13.0,13.0,2003.0,2.0,2.0,30.0,30.0,10.0,"[2012, 1023, 1002, 1010, 2040, 2020]","['strategy', 'family']"
NHL Power Play Team-Building Card Game,158168,281.0,6.77918,5.68445,1.9333,15.0,113.0,32.0,15.0,55.0,470.0,670.0,2.0,29.0,2014.0,2.0,4.0,30.0,30.0,15.0,"[1002, 2664, 1038]",['strategy']
Planet Defenders,204879,305.0,6.65003,5.68439,2.1667,6.0,182.0,51.0,14.0,147.0,812.0,541.0,5.0,15.0,2016.0,2.0,4.0,30.0,60.0,10.0,"[2041, 2072, 1021, 2676, 1016, 2004]",[]
Lost Legacy: Fourth Chronicle – The Werewolf & Undying Heart,191998,201.0,7.12224,5.68495,1.0,1.0,31.0,19.0,16.0,55.0,783.0,591.0,1.0,70.0,2016.0,2.0,6.0,10.0,10.0,14.0,"[1023, 1002, 1039, 2040, 2047, 2685]",[]
Zoowaboo,40935,413.0,6.37331,5.68416,1.0541,37.0,124.0,24.0,24.0,87.0,656.0,1187.0,1.0,52.0,2009.0,2.0,4.0,20.0,30.0,5.0,"[1032, 1089, 2014, 1041, 1008, 2661, 1037, 2019]","[""children's""]"
