Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Court of the Medici,37208,873.0,6.57596,5.88741,1.9104,67.0,677.0,105.0,66.0,303.0,1399.0,5120.0,6.0,60.0,2009.0,2.0,2.0,25.0,25.0,12.0,"[1002, 2040, 1001, 1070]",['strategy']
Risk: Godstorm,10383,2441.0,6.27681,5.88711,2.6909,220.0,1200.0,368.0,35.0,238.0,5000.0,1387.0,1.0,116.0,2004.0,2.0,5.0,120.0,120.0,10.0,"[2080, 2046, 2018, 2072, 1082, 2685, 1086, 1019]","['war', 'thematic']"
Havoc: The Hundred Years War,19363,752.0,6.6827,5.8871,2.1374,131.0,491.0,53.0,60.0,173.0,859.0,1817.0,2.0,11.0,2005.0,2.0,6.0,60.0,60.0,10.0,"[1023, 2041, 1002, 2040, 1035]",['strategy']
Illuminati,859,2640.0,6.19603,5.88671,2.4842,221.0,562.0,141.0,30.0,189.0,4026.0,1958.0,88.0,88.0,1982.0,2.0,6.0,60.0,120.0,12.0,"[1002, 2040, 1093, 1001, 1016]","['thematic', 'strategy']"
Marvel: Crisis Protocol,285905,332.0,8.38853,5.88896,2.8,5.0,68.0,17.0,56.0,234.0,1059.0,970.0,24.0,96.0,2019.0,2.0,2.0,45.0,45.0,14.0,"[1116, 2072, 2949, 1047, 2015, 1019]",[]
Junta: Viva el Presidente!,84159,1264.0,6.42869,5.88627,1.9296,71.0,518.0,100.0,63.0,270.0,1785.0,1922.0,1.0,38.0,2010.0,3.0,5.0,45.0,60.0,10.0,"[1017, 2072, 1046, 2040, 1079, 1033, 1026, 1001, 2020]","['thematic', 'party']"
Roll for Adventure,255683,661.0,6.86319,5.88579,2.1,20.0,139.0,39.0,46.0,365.0,1324.0,2898.0,32.0,25.0,2018.0,2.0,4.0,30.0,30.0,10.0,"[2023, 1017, 2072, 1010]",[]
Ur,25420,955.0,6.50658,5.8859,3.0764,144.0,563.0,72.0,40.0,159.0,1209.0,2002.0,26.0,26.0,2006.0,3.0,4.0,45.0,45.0,10.0,"[1009, 2001, 1015, 2043, 2011, 2004, 2002]",['strategy']
Rescue Polar Bears: Data & Temperature,229370,446.0,7.25302,5.88583,2.3333,9.0,189.0,30.0,73.0,340.0,966.0,1353.0,10.0,44.0,2017.0,1.0,4.0,30.0,60.0,8.0,"[2001, 1089, 2023, 1084, 2011]",[]
Das Motorsportspiel,541,373.0,7.44607,5.88551,2.0,41.0,249.0,21.0,82.0,164.0,487.0,891.0,37.0,37.0,1995.0,2.0,12.0,120.0,120.0,10.0,"[1031, 1037, 2035, 2070, 1038]",['family']
Atlantis Rising,92120,937.0,6.53947,5.8855,2.5333,60.0,597.0,68.0,151.0,835.0,1200.0,1834.0,1.0,91.0,2012.0,2.0,6.0,30.0,90.0,10.0,"[1050, 1015, 2023, 2072, 1082, 2661, 2015, 2082]",['strategy']
Magical Athlete,24565,1006.0,6.49643,5.88452,1.3117,77.0,489.0,33.0,152.0,393.0,1139.0,2975.0,3.0,36.0,2002.0,4.0,5.0,60.0,60.0,9.0,"[2041, 1010, 1031, 2035, 1038, 2015]",['family']
Cry Havoc,1323,692.0,6.85324,5.8845,2.2712,59.0,143.0,52.0,46.0,124.0,1250.0,422.0,63.0,63.0,1981.0,2.0,6.0,120.0,240.0,12.0,"[2072, 2676, 2026, 2975, 1035, 2011, 2947, 2855, 2822, 2070, 1019]",['war']
Utopia Engine,75223,737.0,6.89939,5.8845,2.0517,58.0,350.0,5.0,12.0,467.0,1503.0,1861.0,4.0,276.0,2010.0,1.0,1.0,30.0,60.0,0.0,"[1017, 2072, 1020, 1104, 2055, 1120, 1016, 2819, 2663]","['thematic', 'strategy']"
Emerald,3452,1286.0,6.35431,5.8844,1.6763,139.0,569.0,88.0,56.0,140.0,1601.0,3459.0,12.0,12.0,2002.0,2.0,5.0,45.0,45.0,10.0,"[1022, 2072, 1020, 1010, 2035, 2004]",['family']
Smart10,241590,398.0,7.46853,5.8839,1.3636,11.0,20.0,6.0,7.0,83.0,825.0,2284.0,82.0,90.0,2017.0,2.0,8.0,20.0,120.0,10.0,"[2661, 1027]",[]
Early American Chrononauts,9825,898.0,6.61105,5.88304,1.8592,71.0,161.0,60.0,38.0,136.0,2166.0,1038.0,24.0,24.0,2004.0,1.0,6.0,45.0,45.0,11.0,"[1048, 1002, 1094, 2011, 1001, 1016]","['thematic', 'family']"
Eketorp,6281,1307.0,6.35813,5.8829,2.0816,147.0,729.0,105.0,34.0,153.0,1896.0,2355.0,5.0,27.0,2003.0,3.0,6.0,45.0,60.0,8.0,"[2689, 1023, 1046, 2040, 1035, 2016, 2020, 2082]","['strategy', 'family']"
Hellas,4529,2051.0,6.19089,5.88291,2.0522,230.0,1132.0,234.0,107.0,389.0,3249.0,2871.0,1.0,28.0,2002.0,2.0,2.0,45.0,60.0,12.0,"[2001, 1050, 2080, 2676, 2040, 2026, 2959, 2011, 1082, 2002]",['strategy']
Mint Delivery,230251,1661.0,6.28062,5.88274,1.5,38.0,539.0,232.0,30.0,202.0,5880.0,4413.0,18.0,97.0,2017.0,1.0,5.0,15.0,30.0,13.0,"[2001, 2912, 1021, 2914, 1088, 2007, 2078]","['strategy', 'family']"
Trekking the National Parks,154428,544.0,7.03549,5.88273,1.697,33.0,188.0,17.0,79.0,334.0,1017.0,1684.0,23.0,61.0,2014.0,2.0,6.0,30.0,60.0,8.0,"[2041, 1094, 1084, 2040, 2078, 2004, 1097]",['family']
Chai,253185,604.0,7.06124,5.88236,1.6207,29.0,124.0,20.0,118.0,629.0,1284.0,2059.0,33.0,266.0,2020.0,1.0,5.0,20.0,60.0,8.0,"[2041, 1002, 1021, 1120, 2004]",['family']
