Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Band of Brothers: Screaming Eagles,41429,591.0,7.79104,6.10211,2.7639,72.0,606.0,78.0,135.0,566.0,1563.0,1965.0,6.0,169.0,2011.0,2.0,2.0,90.0,90.0,12.0,"[2072, 2026, 2011, 1019, 1049]",['war']
"Silent Victory: U.S. Submarines in the Pacific, 1941-45",154875,609.0,8.03979,6.10207,2.9583,48.0,310.0,49.0,108.0,462.0,1927.0,1476.0,3.0,192.0,2016.0,1.0,2.0,120.0,180.0,12.0,"[2072, 1008, 2661, 2070, 1019, 1049]",['war']
Hallertau,300322,477.0,8.17585,6.102,3.303,66.0,162.0,4.0,364.0,2272.0,1017.0,1746.0,314.0,139.0,2020.0,1.0,4.0,50.0,140.0,12.0,"[2847, 1089, 2903, 2912, 1021, 2875, 1013, 2040, 2902, 2914, 1088, 2011, 2710, 2819, 2829, 2082]",['strategy']
Modern Art Card Game,40381,1789.0,6.62402,6.10182,1.6463,164.0,860.0,188.0,70.0,282.0,3290.0,6244.0,26.0,46.0,2008.0,2.0,5.0,20.0,30.0,8.0,"[1002, 2013, 2040]",['family']
God's Playground,38309,697.0,7.42406,6.10146,3.6364,88.0,570.0,25.0,173.0,399.0,918.0,1234.0,54.0,54.0,2009.0,3.0,3.0,180.0,180.0,0.0,"[2726, 2080, 2012, 2072, 1035, 1026, 2725, 1001, 1070]",['strategy']
Noblemen,128931,1087.0,6.93714,6.10112,3.0729,96.0,805.0,133.0,39.0,203.0,1748.0,1862.0,48.0,48.0,2012.0,3.0,5.0,75.0,120.0,12.0,"[2041, 1035, 1086, 2002]",['strategy']
Joking Hazard,193621,4286.0,6.42435,6.10088,1.037,54.0,344.0,185.0,40.0,396.0,10104.0,8418.0,33.0,107.0,2016.0,3.0,10.0,30.0,90.0,18.0,"[1002, 1116, 2040, 1079, 1118, 1030, 2865, 2020]",['party']
First Martians: Adventures on the Red Planet,192455,2838.0,6.5406,6.10079,4.1839,174.0,1840.0,704.0,143.0,2176.0,9158.0,7260.0,27.0,545.0,2017.0,1.0,4.0,60.0,90.0,10.0,"[1022, 2023, 2072, 1020, 2011, 2822, 1016, 1113, 2027, 2015, 2082]",['thematic']
Monsterpocalypse,32674,977.0,7.1687,6.10078,3.0517,116.0,732.0,134.0,107.0,264.0,1706.0,2806.0,193.0,193.0,2008.0,2.0,4.0,60.0,60.0,12.0,"[1044, 2072, 1046, 1047, 1016, 2079, 2015]",['customizable']
Paranormal Detectives,280136,921.0,7.19766,6.10064,1.7333,15.0,133.0,31.0,98.0,801.0,1967.0,3594.0,201.0,66.0,2019.0,2.0,6.0,30.0,50.0,12.0,"[2073, 1039, 2040, 1024, 2039, 1040, 1030, 2060, 2015]",[]
Planetarium,200454,1071.0,7.03361,6.10029,2.0732,41.0,285.0,46.0,76.0,499.0,2194.0,2744.0,7.0,278.0,2017.0,1.0,4.0,45.0,45.0,10.0,"[1094, 2040, 2078, 1016, 2004, 1113]","['thematic', 'strategy']"
Tybor the Builder,234621,1009.0,7.01229,6.09972,1.963,27.0,277.0,72.0,72.0,308.0,2575.0,3444.0,7.0,31.0,2017.0,2.0,4.0,30.0,30.0,8.0,"[2041, 1002, 2912, 1035, 2981, 2822, 2004]",['strategy']
The Battle for Hill 218,32484,1752.0,6.6259,6.09933,1.7076,171.0,735.0,121.0,56.0,318.0,2132.0,10436.0,8.0,80.0,2007.0,2.0,2.0,15.0,15.0,8.0,"[1002, 2040, 2686, 2002, 1019, 1049]",['strategy']
Small World of Warcraft,309630,679.0,7.75655,6.09868,2.3529,17.0,63.0,14.0,101.0,993.0,2237.0,1141.0,71.0,157.0,2020.0,2.0,5.0,40.0,80.0,8.0,"[2080, 2046, 2072, 1010, 1046, 2914, 1086, 2015, 2874, 1101]","['strategy', 'family']"
Kingdomino Duel,281960,1100.0,6.94674,6.09862,1.75,16.0,140.0,66.0,65.0,450.0,2815.0,4361.0,91.0,34.0,2019.0,2.0,2.0,20.0,20.0,8.0,"[2072, 2055]",[]
Harvest Dice,231280,1555.0,6.72967,6.09859,1.2593,27.0,217.0,68.0,62.0,349.0,2989.0,8072.0,52.0,42.0,2017.0,2.0,4.0,15.0,30.0,8.0,"[1017, 2072, 2984, 1013, 2914, 2055, 2048, 2004]",['family']
Factory Funner,183284,751.0,7.31794,6.09849,2.1667,18.0,287.0,28.0,146.0,492.0,1314.0,7340.0,22.0,45.0,2016.0,1.0,5.0,20.0,40.0,11.0,"[2026, 2081, 1028, 1037, 2002]",['strategy']
