Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
The Sword and the Stars,2121,134.0,6.30224,5.56147,3.0526,19.0,113.0,19.0,43.0,97.0,484.0,53.0,20.0,20.0,1981.0,1.0,5.0,240.0,240.0,12.0,"[2001, 1015, 1021, 1001, 1016, 2017, 1019]","['war', 'strategy']"
D-Day Dice Pocket,247567,125.0,6.41539,5.56145,1.25,4.0,42.0,23.0,18.0,35.0,699.0,1980.0,84.0,15.0,2018.0,1.0,8.0,10.0,45.0,10.0,"[2023, 1017, 2072, 2661, 2020, 1019, 1049]","['party', 'family']"
Big Money,247188,108.0,6.52546,5.56145,1.0,2.0,37.0,9.0,5.0,29.0,254.0,281.0,3.0,70.0,2018.0,2.0,5.0,0.0,30.0,8.0,"[1017, 2072, 1021, 2004]",[]
Grind House,263894,98.0,6.99694,5.56145,1.0,3.0,27.0,5.0,21.0,161.0,258.0,268.0,10.0,39.0,2020.0,2.0,6.0,20.0,30.0,15.0,"[1002, 1017, 2072, 1024, 1118, 2685, 2019, 2017]",[]
Waldmeister,2095,127.0,6.2815,5.56143,2.3333,9.0,42.0,15.0,20.0,36.0,233.0,84.0,0.0,0.0,1994.0,2.0,4.0,90.0,90.0,12.0,"[2012, 1084, 2002]",[]
Thornwatch,159011,134.0,6.50189,5.56143,2.3333,3.0,89.0,32.0,19.0,174.0,685.0,309.0,38.0,38.0,2018.0,3.0,6.0,30.0,180.0,13.0,"[1002, 1116, 1010, 2011, 2028, 2019, 2015]",[]
Pigasus,271036,75.0,6.86067,5.56143,0.0,0.0,22.0,1.0,6.0,55.0,141.0,246.0,8.0,52.0,2019.0,2.0,8.0,20.0,20.0,7.0,"[2060, 1037]",[]
18Africa,158589,55.0,7.19545,5.56142,3.8571,7.0,33.0,0.0,27.0,51.0,92.0,165.0,5.0,50.0,2014.0,2.0,7.0,240.0,240.0,12.0,"[1021, 1120, 2005, 2002, 1034]",[]
The Last Crusade,2918,103.0,6.6165,5.56142,2.625,16.0,60.0,24.0,9.0,22.0,223.0,22.0,7.0,70.0,1995.0,2.0,2.0,120.0,120.0,10.0,"[2001, 1002, 1044, 2016, 1019, 1049]","['war', 'customizable']"
Kyoto Protocol,147400,86.0,6.61395,5.5614,1.6667,3.0,32.0,2.0,8.0,37.0,50.0,340.0,3.0,12.0,2015.0,2.0,7.0,15.0,30.0,8.0,"[2041, 1002, 1084, 2040, 1088, 2004]",[]
Arkham Noir: Collector Case #2 – The King in Yellow,231574,48.0,7.49792,5.56139,3.0,2.0,41.0,2.0,37.0,115.0,182.0,157.0,15.0,15.0,2017.0,1.0,1.0,30.0,30.0,14.0,"[1022, 2041, 1002, 1010, 2040, 1024, 1093, 2004]",[]
Medina de Rioseco 1808,39278,48.0,7.88542,5.56133,2.75,12.0,9.0,2.0,3.0,12.0,212.0,16.0,1.0,10.0,2008.0,1.0,2.0,240.0,240.0,0.0,"[2057, 2026, 1051, 1019]",['war']
Cosmic Kaboom,177245,97.0,6.47732,5.56132,1.5,2.0,74.0,15.0,4.0,30.0,262.0,256.0,9.0,92.0,2016.0,2.0,4.0,20.0,30.0,12.0,"[1032, 2860, 2011, 2007, 1016, 2004, 2015]",[]
Decline and Fall of the Roman Empire,1620,106.0,6.65896,5.56132,2.6154,13.0,52.0,11.0,10.0,21.0,195.0,47.0,4.0,40.0,1972.0,4.0,4.0,120.0,120.0,12.0,"[1050, 2026, 1026, 2015, 1019]",['war']
Wreck and Ruin,197946,59.0,8.10876,5.56132,2.6667,3.0,31.0,5.0,3.0,44.0,106.0,49.0,22.0,22.0,2019.0,2.0,4.0,60.0,90.0,14.0,"[2001, 2689, 1017, 1046, 2676, 1047, 2011, 2661, 1016, 2002, 1011, 2015, 1019]",[]
Monopoly Express,1420,864.0,5.67914,5.56131,1.1304,92.0,571.0,95.0,8.0,43.0,1751.0,2443.0,2.0,12.0,1991.0,2.0,4.0,20.0,20.0,8.0,"[1017, 2072, 1021, 2661, 2004]",['family']
Pick 'N' Choose,95756,128.0,6.35977,5.56129,1.0,3.0,122.0,6.0,3.0,32.0,338.0,282.0,1.0,30.0,2010.0,2.0,8.0,30.0,30.0,14.0,"[2073, 1032, 2055, 1030, 2038, 1027]",[]
Eleminis,90050,236.0,6.02661,5.56127,1.125,24.0,58.0,14.0,5.0,38.0,463.0,1766.0,8.0,50.0,2010.0,2.0,8.0,15.0,15.0,7.0,"[1002, 1041, 2040, 1030, 2004, 2686]",['family']
Apocalypse: The Game of Nuclear Devastation,201281,83.0,6.74819,5.56126,2.0,1.0,6.0,9.0,4.0,13.0,183.0,83.0,1.0,10.0,1980.0,2.0,4.0,60.0,240.0,10.0,"[2080, 2046, 1023, 1069, 1019]",['war']
The Warp,282775,49.0,8.97959,5.56124,3.0,4.0,26.0,0.0,10.0,152.0,10.0,36.0,87.0,87.0,2020.0,1.0,4.0,90.0,180.0,12.0,"[2080, 1023, 1015, 1017, 2072, 2040, 1047, 2011, 1026, 1016, 2020, 2015]",[]
Klickado,39095,186.0,6.10914,5.56123,1.0,16.0,63.0,7.0,11.0,43.0,176.0,461.0,1.0,70.0,2008.0,1.0,5.0,15.0,15.0,5.0,"[1032, 1041]","[""children's""]"
The Arduous Beginning,54457,75.0,6.96587,5.56123,1.6923,13.0,40.0,5.0,9.0,31.0,180.0,70.0,8.0,80.0,2009.0,1.0,2.0,120.0,120.0,12.0,"[2072, 2026, 1019, 1049]",['war']
Semper Fi!,4343,85.0,6.92765,5.56122,3.4286,7.0,50.0,12.0,13.0,40.0,341.0,72.0,6.0,60.0,1997.0,2.0,2.0,240.0,240.0,15.0,"[2072, 2026, 1091, 2070, 1019]",['war']
Skybridge,23329,285.0,5.91855,5.56122,1.9259,27.0,207.0,21.0,31.0,115.0,497.0,618.0,1.0,80.0,2006.0,2.0,4.0,20.0,20.0,7.0,"[1009, 2040, 2048]",['abstract']
