Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Invasion Sicily,2300,86.0,7.0407,5.57898,3.0,9.0,46.0,9.0,9.0,20.0,325.0,31.0,5.0,50.0,1998.0,2.0,2.0,360.0,360.0,12.0,"[2026, 1019, 1049]",['war']
The Last Garden,193584,95.0,7.19,5.57896,2.3333,3.0,53.0,23.0,3.0,41.0,286.0,203.0,29.0,29.0,2017.0,2.0,4.0,30.0,45.0,13.0,"[2080, 2014, 2040, 1016, 2686, 2082]",[]
Five Points: Gangs of New York,93540,200.0,6.2256,5.57894,2.5294,17.0,388.0,86.0,10.0,85.0,654.0,320.0,12.0,12.0,2013.0,3.0,5.0,75.0,108.0,12.0,"[2080, 2012, 1001]",['strategy']
Photo Party,77361,117.0,6.62353,5.57893,1.0,6.0,61.0,8.0,6.0,25.0,321.0,172.0,4.0,40.0,2010.0,6.0,15.0,20.0,20.0,8.0,"[1079, 1030]",[]
Castle of Magic,1738,231.0,6.15305,5.57889,2.52,25.0,170.0,20.0,17.0,58.0,351.0,168.0,14.0,14.0,1991.0,4.0,6.0,90.0,90.0,12.0,"[1022, 1039, 1010, 2028]",[]
Orient Express,193291,86.0,7.03141,5.57889,2.6,5.0,66.0,12.0,4.0,50.0,244.0,211.0,1.0,11.0,2017.0,2.0,5.0,45.0,90.0,14.0,"[2081, 1034]",[]
King of Chicago,20772,172.0,6.53029,5.57886,2.5714,28.0,42.0,8.0,6.0,39.0,215.0,136.0,6.0,60.0,2005.0,2.0,6.0,120.0,120.0,14.0,"[2001, 2046, 1033, 1026, 2007, 2019]",[]
Founders of the Empire,148639,164.0,6.35549,5.57886,2.3,10.0,99.0,12.0,7.0,63.0,243.0,355.0,7.0,70.0,2013.0,2.0,4.0,30.0,45.0,12.0,"[1050, 1015, 2002]",[]
Across the United States,277184,78.0,7.06923,5.57885,2.0,1.0,33.0,3.0,33.0,66.0,78.0,265.0,4.0,42.0,2019.0,2.0,5.0,60.0,60.0,8.0,"[2081, 2005, 1034]",[]
Tien Zi Que,39710,198.0,6.2152,5.57884,1.6667,21.0,118.0,44.0,7.0,31.0,438.0,811.0,5.0,72.0,2009.0,2.0,2.0,20.0,20.0,8.0,"[1002, 2040, 1098, 2004]",[]
Adventure of D,53840,109.0,6.72991,5.57882,2.0769,13.0,170.0,7.0,59.0,185.0,293.0,340.0,7.0,37.0,2010.0,1.0,4.0,30.0,30.0,0.0,"[1022, 2046, 1023, 1002, 1010, 2040, 2011, 2028, 2004, 2020, 2015]",['thematic']
Handsome,274028,83.0,7.03205,5.57881,1.0,1.0,37.0,9.0,10.0,28.0,368.0,330.0,3.0,13.0,2019.0,2.0,6.0,15.0,25.0,8.0,"[1002, 1120, 2004, 1025]",[]
The Great Game: Rival Empires in Central Asia 1837-1886,94375,90.0,7.11222,5.57877,2.0833,12.0,68.0,6.0,37.0,107.0,287.0,141.0,19.0,19.0,2018.0,2.0,2.0,120.0,180.0,0.0,"[2080, 2018, 2072, 2078, 1001, 2710, 2070, 1019]",['war']
