Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Unlock!: Timeless Adventures,279613,981.0,7.98387,6.46384,2.0,11.0,117.0,64.0,162.0,399.0,2463.0,3582.0,64.0,18.0,2019.0,1.0,6.0,60.0,90.0,10.0,"[1002, 2023, 1020, 1028, 1037, 2027]",['thematic']
KeyForge: Age of Ascension,272453,1628.0,7.47722,6.46348,2.7647,17.0,180.0,97.0,21.0,156.0,4256.0,7876.0,100.0,86.0,2019.0,2.0,2.0,15.0,45.0,14.0,"[1002, 1010, 1046, 2040, 2686]","['customizable', 'strategy']"
On Tour,251412,2566.0,7.08167,6.4637,1.4808,52.0,430.0,68.0,242.0,1034.0,4262.0,13594.0,173.0,119.0,2019.0,1.0,4.0,20.0,20.0,7.0,"[2999, 1017, 2072, 2039, 1054, 2081, 1098, 2055, 2661, 2819, 1097]",['family']
The Staufer Dynasty,166226,2086.0,7.15968,6.46196,2.9817,109.0,869.0,145.0,82.0,395.0,3152.0,4644.0,10.0,63.0,2014.0,2.0,5.0,90.0,90.0,13.0,"[2080, 2041, 1035, 2011, 2048, 2004]",['strategy']
Asara,72991,2644.0,7.02062,6.46133,2.356,191.0,1006.0,178.0,127.0,558.0,3620.0,5680.0,8.0,78.0,2010.0,2.0,4.0,45.0,45.0,9.0,"[1010, 2040, 1035, 2048, 2004, 2082]","['strategy', 'family']"
New Angeles,205716,2478.0,7.13085,6.46089,3.2561,82.0,549.0,157.0,192.0,1195.0,4509.0,3209.0,2.0,141.0,2016.0,4.0,6.0,120.0,240.0,14.0,"[1023, 2891, 1047, 1026, 1001, 1016, 2820, 2814, 2015, 2017]",['strategy']
The Little Prince: Make Me a Planet,134453,3431.0,6.90999,6.46078,1.5915,164.0,740.0,79.0,95.0,546.0,4382.0,12504.0,30.0,73.0,2013.0,2.0,5.0,25.0,25.0,8.0,"[2041, 1093, 2004, 1086]",['family']
Porta Nigra,172385,1954.0,7.2133,6.46113,2.9896,96.0,1088.0,254.0,123.0,542.0,3833.0,4048.0,5.0,68.0,2015.0,2.0,4.0,75.0,120.0,12.0,"[1050, 2080, 2046, 2041, 1029, 2004]",['strategy']
Welcome to the Dungeon,150312,11581.0,6.60635,6.46052,1.2268,313.0,1463.0,591.0,149.0,1499.0,20350.0,32672.0,80.0,241.0,2013.0,2.0,4.0,30.0,30.0,10.0,"[2014, 1023, 1002, 1010, 1046, 2047, 2685, 2661]","['party', 'family']"
Dead Man's Draw,149155,4409.0,6.85436,6.45981,1.355,169.0,899.0,209.0,86.0,567.0,7404.0,30299.0,103.0,175.0,2015.0,2.0,4.0,10.0,15.0,13.0,"[1002, 1090, 2661, 2004, 2686, 2015]",['family']
The Starfarers of Catan,1897,5012.0,6.80952,6.45912,2.5793,435.0,1536.0,275.0,227.0,725.0,7130.0,5226.0,8.0,124.0,1999.0,3.0,4.0,120.0,120.0,12.0,"[1020, 2026, 1026, 1016, 1113, 2008]","['strategy', 'family']"
Doom: The Boardgame,10640,5027.0,6.85655,6.45869,2.9067,611.0,2333.0,351.0,173.0,774.0,6747.0,6257.0,335.0,335.0,2004.0,2.0,4.0,180.0,180.0,12.0,"[2072, 1020, 1046, 1024, 1047, 2011, 1016, 2940, 2019, 2015, 1101]",['thematic']
Say Anything,33604,5568.0,6.74692,6.45764,1.0934,257.0,1862.0,310.0,110.0,916.0,9229.0,13807.0,10.0,119.0,2008.0,3.0,8.0,30.0,30.0,13.0,"[2014, 1079, 2055, 1030, 2865]",['party']
Exit: The Game – The Forgotten Island,215841,2641.0,7.02827,6.45769,2.6897,29.0,190.0,74.0,71.0,328.0,5322.0,3325.0,27.0,22.0,2017.0,1.0,4.0,45.0,90.0,12.0,"[2023, 1039, 1028, 1037]",[]
Room 25,127024,5777.0,6.74817,6.45692,1.9325,237.0,970.0,177.0,172.0,1130.0,7322.0,13858.0,35.0,214.0,2013.0,1.0,6.0,30.0,30.0,13.0,"[2689, 1023, 2023, 1039, 1020, 2676, 1024, 1059, 2047, 2011, 1026, 2685, 2953, 1016, 2020, 2019, 2814]",['thematic']
Ghost Blitz,83195,6764.0,6.71242,6.4561,1.1495,301.0,746.0,107.0,92.0,544.0,10262.0,24841.0,99.0,120.0,2010.0,2.0,8.0,20.0,20.0,8.0,"[1032, 1002, 1041, 2060, 1037, 2991]",['family']
Cosmic Encounter,15,3849.0,6.91181,6.45515,2.3732,426.0,2039.0,202.0,116.0,451.0,4275.0,4687.0,2.0,113.0,1977.0,2.0,6.0,90.0,90.0,12.0,"[2916, 1023, 2040, 1026, 2915, 1016, 2015]","['thematic', 'strategy']"
TransAmerica,2842,7670.0,6.66973,6.45497,1.3527,825.0,2581.0,145.0,205.0,692.0,7520.0,35965.0,26.0,111.0,2001.0,2.0,6.0,30.0,30.0,13.0,"[2883, 2081, 1034]",['family']
Odin's Ravens (Second Edition),192074,2608.0,7.06121,6.45376,1.2029,69.0,326.0,97.0,108.0,658.0,4853.0,8379.0,52.0,87.0,2016.0,2.0,2.0,15.0,30.0,10.0,"[1089, 1002, 2040, 1082, 2876, 1031]",['family']
Qwinto,183006,2440.0,7.06564,6.45252,1.371,62.0,340.0,51.0,79.0,428.0,4184.0,23925.0,151.0,54.0,2015.0,2.0,6.0,15.0,15.0,8.0,"[1017, 2072, 1098, 2055, 2048]",['family']
Spot it!,63268,12602.0,6.6309,6.45244,1.0271,517.0,1535.0,179.0,68.0,594.0,23643.0,92669.0,571.0,186.0,2009.0,2.0,8.0,15.0,15.0,7.0,"[1002, 1041, 1094, 1030, 1037, 2991, 1038]",['party']
Roam,267319,1427.0,7.50577,6.45203,1.9167,36.0,163.0,40.0,134.0,635.0,3169.0,5817.0,55.0,149.0,2019.0,2.0,4.0,30.0,45.0,8.0,"[2839, 2080, 1010, 2978, 2940]",['family']
Amyitis,29934,2929.0,6.94842,6.45164,3.226,354.0,1527.0,226.0,71.0,414.0,3643.0,5474.0,6.0,54.0,2007.0,2.0,4.0,60.0,120.0,12.0,"[1050, 2080, 2002]",['strategy']
