Name,id,usersrated,average,baverage,avgweight,numweights,numgeeklists,numtrading,numwanting,numwish,numowned,numplays,numplays_month,numfans,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,categories,types
Shadow War: Armageddon,223619,139.0,7.55,5.63507,3.3333,3.0,51.0,13.0,18.0,58.0,405.0,365.0,1.0,27.0,2017.0,2.0,4.0,30.0,120.0,0.0,"[2072, 1047, 2011, 2028, 1016, 1019]",[]
Mertwig's Maze,1965,263.0,6.51863,5.63503,1.931,29.0,84.0,22.0,42.0,73.0,553.0,120.0,20.0,20.0,1988.0,2.0,6.0,100.0,100.0,10.0,"[1022, 1020, 1010, 1046, 1059, 2011, 2028]",[]
Burrows,33155,358.0,6.20994,5.63502,1.5,28.0,255.0,69.0,12.0,50.0,642.0,802.0,2.0,10.0,2010.0,2.0,5.0,45.0,45.0,10.0,"[1009, 1089, 2002]",['family']
Somme 1918: Bloody Spring,91739,92.0,8.05,5.63497,3.6667,15.0,52.0,4.0,26.0,71.0,342.0,73.0,21.0,21.0,2012.0,2.0,2.0,240.0,240.0,14.0,"[2072, 2026, 2070, 1019, 1065]",['war']
Flashpoint: Golan – The Fifth Arab-Israeli War,5042,155.0,7.23226,5.63492,3.7917,24.0,79.0,25.0,14.0,44.0,612.0,68.0,16.0,16.0,1991.0,2.0,2.0,360.0,360.0,12.0,"[2026, 1069, 1019]",['war']
Liftoff!,2853,200.0,6.998,5.6349,2.9286,42.0,152.0,11.0,40.0,108.0,384.0,194.0,35.0,35.0,1989.0,1.0,4.0,180.0,180.0,12.0,"[2072, 2020, 1113]",['strategy']
The Color Monster,256980,203.0,6.88114,5.63483,1.25,4.0,26.0,1.0,17.0,94.0,452.0,606.0,14.0,11.0,2018.0,2.0,5.0,25.0,25.0,3.0,"[1041, 2023, 2072, 2047, 2027]",[]
Penny Lane,252479,195.0,6.78282,5.63478,1.5,4.0,53.0,25.0,16.0,124.0,606.0,519.0,2.0,52.0,2019.0,2.0,5.0,30.0,30.0,14.0,"[1029, 2082]",[]
Jungle Ascent,129010,260.0,6.45215,5.63476,1.5909,22.0,238.0,44.0,14.0,105.0,527.0,606.0,48.0,48.0,2013.0,2.0,4.0,30.0,30.0,8.0,"[2001, 1022, 1020, 2676, 2040, 2011, 1031, 2686]",['family']
Clue: 50th Anniversary Edition,4928,463.0,6.24886,5.63475,1.6552,29.0,182.0,37.0,10.0,22.0,1114.0,356.0,3.0,10.0,1999.0,3.0,6.0,60.0,60.0,8.0,"[1039, 1040, 2035]",['family']
Verdun 1916: Steel Inferno,289247,91.0,8.61099,5.63475,2.5714,7.0,24.0,3.0,37.0,133.0,277.0,132.0,6.0,27.0,2020.0,2.0,2.0,60.0,240.0,14.0,"[2080, 2046, 2018, 2664, 2040, 2070, 1019, 1065]",['war']
Doctor Who: Solitaire Story Game (Second Edition),233361,104.0,8.58606,5.63471,2.75,8.0,61.0,1.0,10.0,149.0,184.0,117.0,86.0,86.0,2017.0,1.0,1.0,45.0,45.0,11.0,"[2072, 1064, 1120, 1016, 2027]",['thematic']
Napoleon at Leipzig (Fifth Edition),135840,104.0,7.94615,5.63467,3.5,14.0,36.0,5.0,23.0,75.0,459.0,78.0,36.0,36.0,2013.0,1.0,3.0,180.0,840.0,0.0,"[2072, 2026, 1051, 1019]",['war']
Dragon Valley,87200,219.0,6.62457,5.63464,3.0909,22.0,332.0,40.0,22.0,143.0,393.0,383.0,41.0,41.0,2012.0,2.0,4.0,120.0,120.0,12.0,"[2046, 1029, 1020, 1010, 1046, 2002]",['strategy']
Druids,232417,268.0,6.41791,5.63462,1.75,4.0,62.0,12.0,9.0,73.0,626.0,610.0,2.0,31.0,2017.0,3.0,5.0,45.0,45.0,10.0,"[1002, 1010, 2004, 2009]",[]
Kings Cribbage,1449,238.0,6.52878,5.63453,1.7826,23.0,129.0,27.0,10.0,21.0,561.0,593.0,5.0,10.0,1997.0,2.0,4.0,30.0,30.0,12.0,"[1009, 2040, 2002]",['abstract']
Big Kini,20228,293.0,6.341,5.63449,2.6042,48.0,192.0,38.0,13.0,35.0,368.0,315.0,1.0,11.0,2005.0,2.0,4.0,60.0,60.0,10.0,"[1015, 2011, 1086]",['strategy']
The Hobbit: An Unexpected Journey,140612,385.0,6.22917,5.63448,1.8214,28.0,330.0,76.0,16.0,119.0,1054.0,1041.0,20.0,20.0,2013.0,1.0,4.0,40.0,40.0,15.0,"[1022, 2023, 1017, 2072, 1010, 2040, 1064, 1093, 2819]",['family']
1854,4613,112.0,7.39884,5.63446,4.2,10.0,62.0,2.0,34.0,46.0,165.0,244.0,2.0,21.0,2002.0,3.0,6.0,300.0,300.0,12.0,"[1021, 2081, 2005, 2002, 1034, 1011]",['strategy']
Israeli Air Force Leader,105024,110.0,7.89182,5.63437,2.1667,6.0,66.0,7.0,44.0,122.0,416.0,243.0,10.0,43.0,2017.0,1.0,1.0,60.0,60.0,12.0,"[2046, 2650, 2041, 2057, 2072, 1069, 2070, 1019]",['war']
Ka-Boom,136245,337.0,6.24132,5.63434,1.0588,17.0,196.0,28.0,32.0,130.0,559.0,1008.0,8.0,83.0,2013.0,2.0,5.0,30.0,30.0,6.0,"[1032, 1041, 2048, 1037]",[]
Steam Torpedo: First Contact,104575,410.0,6.23238,5.63429,2.4286,21.0,489.0,144.0,25.0,153.0,1458.0,537.0,2.0,40.0,2011.0,2.0,2.0,40.0,40.0,13.0,"[1010, 1046, 2011, 1008, 2015, 2082, 1065]",['strategy']
Epaminondas,7338,135.0,7.20741,5.63426,2.85,20.0,85.0,11.0,23.0,84.0,248.0,223.0,18.0,18.0,1975.0,2.0,2.0,60.0,60.0,10.0,"[1009, 2676]",['abstract']
Architectura,256390,461.0,6.11874,5.63425,1.7273,11.0,102.0,39.0,11.0,110.0,864.0,1099.0,11.0,16.0,2018.0,2.0,4.0,30.0,45.0,8.0,"[2080, 1002, 1029, 2040, 2002]",[]
Schummel Hummel,235944,201.0,6.6801,5.63424,1.1667,6.0,22.0,9.0,32.0,117.0,579.0,760.0,15.0,70.0,2017.0,3.0,5.0,20.0,25.0,7.0,[1002],[]
Birds of Prey: Air Combat in the Jet Age,18606,129.0,7.73953,5.63419,4.4898,49.0,127.0,7.0,23.0,132.0,304.0,254.0,44.0,44.0,2008.0,2.0,8.0,120.0,480.0,14.0,"[2650, 2072, 2026, 1047, 1069, 2070, 1019]",['war']
Jolly Roger: The Game of Piracy & Mutiny,165959,335.0,6.33618,5.63414,1.8,10.0,173.0,40.0,10.0,86.0,789.0,425.0,9.0,21.0,2015.0,4.0,10.0,30.0,30.0,12.0,"[1002, 2040, 1079, 1026, 1030, 1090, 2017]",['party']
The Table Is Lava,260298,318.0,6.29013,5.63409,1.0,8.0,74.0,13.0,25.0,132.0,573.0,1366.0,5.0,10.0,2018.0,2.0,4.0,20.0,20.0,10.0,"[1032, 1041, 2040, 1030]",[]
Burning Suns,130134,178.0,7.02522,5.63407,3.4211,19.0,210.0,33.0,37.0,262.0,477.0,340.0,1.0,554.0,2013.0,2.0,5.0,80.0,200.0,14.0,"[2001, 2689, 2080, 2046, 2021, 1015, 2072, 1046, 2011, 1120, 1016, 1113, 1086, 2079, 2015, 2082]",['strategy']
A Fearful Slaughter: The Battle of Shiloh,10679,110.0,7.67273,5.63402,3.9583,24.0,85.0,10.0,12.0,50.0,530.0,100.0,10.0,10.0,2004.0,1.0,2.0,300.0,300.0,12.0,"[1048, 2072, 2026, 2070, 1019]",['war']
Talisman: Legendary Tales,255658,266.0,6.51203,5.63394,1.25,12.0,53.0,26.0,20.0,159.0,780.0,946.0,13.0,36.0,2018.0,1.0,6.0,20.0,40.0,14.0,"[1022, 2023, 2664, 1010, 2015]",[]
Dark Venture,228412,151.0,7.34536,5.63377,2.4444,9.0,75.0,15.0,73.0,268.0,536.0,255.0,1.0,115.0,2019.0,1.0,4.0,60.0,90.0,12.0,"[1022, 1002, 2023, 2072, 2676, 2040, 2011, 1120, 2028, 1016, 2819]",[]
Wooolf!!,147104,231.0,6.60801,5.63377,1.9524,21.0,100.0,7.0,6.0,52.0,316.0,527.0,10.0,10.0,2013.0,4.0,8.0,30.0,30.0,8.0,"[2001, 1089, 2014, 1023, 1002, 1039, 1030, 2028, 2015]","['party', 'family']"
Naruto Shippuden Deck-Building Game,154804,196.0,6.85536,5.63368,2.2222,9.0,50.0,17.0,33.0,81.0,380.0,361.0,39.0,39.0,2014.0,2.0,5.0,45.0,90.0,15.0,"[1002, 2664, 1064]",[]
Tessen,137744,235.0,6.58303,5.63366,1.1875,16.0,216.0,53.0,9.0,86.0,614.0,735.0,1.0,41.0,2013.0,2.0,2.0,15.0,15.0,0.0,"[1089, 1002, 2040, 1037, 2004]",[]
Gloobz,156457,414.0,6.19481,5.63364,1.0714,14.0,71.0,11.0,3.0,49.0,633.0,1043.0,2.0,51.0,2014.0,2.0,6.0,20.0,20.0,6.0,"[1032, 1002, 1041, 2060]",[]
Continental Divide,138338,185.0,6.702,5.63357,3.5,6.0,192.0,26.0,29.0,72.0,428.0,337.0,3.0,31.0,2013.0,3.0,6.0,120.0,120.0,12.0,"[1021, 2081, 2005, 1034, 1011]",[]
Monikers,283150,81.0,8.00679,5.63353,1.0,1.0,3.0,3.0,12.0,60.0,251.0,204.0,6.0,20.0,2019.0,4.0,20.0,60.0,60.0,18.0,[1030],[]
Consentacle,166976,185.0,6.83676,5.63349,1.3333,6.0,45.0,24.0,31.0,120.0,780.0,279.0,37.0,37.0,2014.0,2.0,2.0,10.0,35.0,18.0,"[1002, 2023, 2040, 1118, 1016, 2020]",[]
Attack!,6752,1825.0,5.84055,5.63347,2.5498,211.0,1558.0,360.0,15.0,143.0,3616.0,958.0,62.0,62.0,2003.0,2.0,6.0,180.0,180.0,10.0,"[2001, 2046, 2072, 1021, 1047, 1026, 2685, 2078, 2004, 2008, 1019, 1049]",['war']
Tofu Kingdom,186475,346.0,6.28543,5.63338,1.5556,9.0,68.0,16.0,12.0,94.0,643.0,997.0,5.0,13.0,2015.0,3.0,8.0,10.0,30.0,10.0,"[1023, 1039, 2028]",[]
Robin Wood,256998,164.0,6.93701,5.63328,1.1667,6.0,13.0,1.0,3.0,27.0,314.0,1022.0,6.0,60.0,2018.0,2.0,4.0,15.0,25.0,10.0,"[1023, 1039, 1035, 2047, 2028]",[]
Donner Dinner Party,219638,366.0,6.38148,5.63324,1.1667,6.0,42.0,38.0,9.0,93.0,998.0,1148.0,1.0,19.0,2017.0,4.0,10.0,30.0,60.0,12.0,"[1023, 1039, 1030, 2685]",[]
Batman Miniature Game,137141,115.0,7.87609,5.63321,3.8,10.0,85.0,1.0,10.0,81.0,252.0,358.0,1.0,52.0,2012.0,2.0,2.0,60.0,60.0,12.0,"[2001, 1116, 1017, 2072, 1046, 1047, 1064, 2015, 1101]",[]
Afternova,279900,156.0,7.1283,5.63317,1.8,5.0,28.0,13.0,13.0,80.0,513.0,317.0,5.0,276.0,2020.0,3.0,6.0,30.0,60.0,12.0,"[1002, 2040, 1026, 2915, 1016, 2008]",[]
Math Fluxx,219430,352.0,6.30026,5.63316,1.5,6.0,74.0,18.0,17.0,105.0,1137.0,1984.0,43.0,71.0,2017.0,2.0,6.0,5.0,30.0,8.0,"[1002, 2040, 2004]",[]
Harpoon (1st & 3rd edition),5928,302.0,6.3793,5.63307,3.9831,59.0,211.0,58.0,5.0,24.0,919.0,104.0,27.0,27.0,1981.0,2.0,2.0,180.0,180.0,12.0,"[2650, 2072, 2949, 1047, 1069, 1008, 2078, 2016, 2070, 1019]",['war']
Who Should We Eat?,230275,245.0,6.58266,5.63303,1.6,5.0,57.0,15.0,19.0,182.0,456.0,556.0,2.0,16.0,2017.0,4.0,10.0,30.0,30.0,14.0,"[2023, 2040, 1030, 2020, 2015, 2017]",[]
Radetzky: Milano 1848,258693,137.0,7.31175,5.63302,2.5,4.0,22.0,12.0,10.0,61.0,248.0,303.0,1.0,15.0,2018.0,1.0,5.0,30.0,90.0,8.0,"[2046, 2023, 1046, 2040, 2710, 2661, 2003, 2004, 1019]",[]
Field Command,1358,159.0,7.11065,5.63295,2.3846,26.0,129.0,32.0,19.0,56.0,326.0,126.0,14.0,14.0,1991.0,2.0,2.0,180.0,180.0,10.0,"[2689, 2003, 2020, 1019]",['war']
Recicle: Tempos de Crise,66665,125.0,7.4372,5.63294,3.0417,24.0,115.0,7.0,12.0,38.0,218.0,145.0,18.0,18.0,2010.0,2.0,4.0,120.0,120.0,14.0,"[2046, 1021, 1084, 1088, 2007]",['strategy']
Spies!,1633,304.0,6.38743,5.6329,2.4634,41.0,156.0,65.0,20.0,78.0,842.0,175.0,2.0,24.0,1981.0,2.0,5.0,180.0,180.0,12.0,"[2001, 1026, 2007, 2078, 1081, 2686, 1049]","['war', 'strategy']"
Corsairs,840,514.0,6.05613,5.63286,1.6818,44.0,205.0,71.0,16.0,46.0,766.0,661.0,3.0,30.0,2000.0,2.0,4.0,60.0,60.0,10.0,"[2080, 1002, 2072, 1046, 2040, 2011, 1008, 1090]",['family']
Sparkle*Kitty,220547,356.0,6.36213,5.63285,1.0,7.0,94.0,20.0,5.0,62.0,1014.0,1922.0,8.0,20.0,2017.0,3.0,8.0,10.0,20.0,6.0,"[1089, 1002, 1041, 2040, 1079, 1030, 2060]",[]
Vintage,87120,237.0,6.52915,5.63284,2.9545,22.0,160.0,25.0,11.0,64.0,364.0,278.0,17.0,17.0,2011.0,2.0,4.0,60.0,120.0,10.0,"[2046, 2041, 1094, 1013, 2007, 2078]",['strategy']
Baobab,127134,399.0,6.16911,5.63276,1.1875,16.0,85.0,18.0,12.0,41.0,702.0,1128.0,3.0,13.0,2012.0,2.0,4.0,20.0,20.0,6.0,"[1032, 1089, 1041, 2040]",[]
Drakon (Second Edition),61269,390.0,6.17562,5.63276,1.8214,28.0,184.0,46.0,2.0,11.0,616.0,755.0,6.0,60.0,2002.0,2.0,6.0,40.0,40.0,10.0,"[1010, 2676, 1059, 2011, 2002, 2015]","['thematic', 'family']"
Planes,156976,675.0,5.93725,5.63274,1.9643,28.0,655.0,112.0,18.0,154.0,1442.0,1489.0,3.0,26.0,2014.0,2.0,4.0,30.0,30.0,14.0,"[2650, 2040, 2955, 2048, 2078, 1011]",['family']
